model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,375.0,90.226,9.774,98.766,1.234,93.59,320,1.0,bicubic,3.502,0.59
deit3_huge_patch14_224.fb_in22k_ft_in1k,2590.72,90.226,9.774,98.64,1.36,632.13,224,1.0,bicubic,3.04,0.38
regnety_320.swag_ft_in1k,581.0,90.213,9.787,98.764,1.236,145.05,384,1.0,bicubic,3.379,0.402
vit_large_patch16_384.augreg_in21k_ft_in1k,1249.28,90.213,9.787,98.661,1.339,304.72,384,1.0,bicubic,3.129,0.359
vit_base_patch16_clip_384.laion2b_ft_in1k,347.0,90.211,9.789,98.702,1.298,86.86,384,1.0,bicubic,3.593,0.694
convformer_m36.sail_in22k_ft_in1k_384,228.0,90.204,9.796,98.651,1.349,57.05,384,1.0,bicubic,3.312,0.535
convnextv2_huge.fcmae_ft_in1k,2703.36,90.204,9.796,98.548,1.452,660.29,288,1.0,bicubic,3.624,0.576
tf_efficientnetv2_l.in21k_ft_in1k,477.0,90.202,9.798,98.719,1.281,118.52,480,1.0,bicubic,3.4,0.583
vit_base_patch16_clip_384.openai_ft_in12k_in1k,347.0,90.2,9.8,98.648,1.351,86.86,384,0.95,bicubic,3.174,0.466
convformer_b36.sail_in22k_ft_in1k,400.0,90.189,9.811,98.695,1.304,99.88,224,1.0,bicubic,3.191,0.523
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,347.0,90.189,9.811,98.585,1.415,86.86,384,1.0,bicubic,2.983,0.55
cait_m48_448.fb_dist_in1k,1464.32,90.189,9.811,98.484,1.516,356.46,448,1.0,bicubic,3.697,0.732
vit_huge_patch14_clip_224.laion2b_ft_in1k,2590.72,90.181,9.819,98.544,1.456,632.05,224,1.0,bicubic,2.593,0.326
volo_d3_448.sail_in1k,347.0,90.177,9.823,98.55,1.45,86.63,448,1.0,bicubic,3.675,0.84
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,814.0,90.157,9.843,98.614,1.386,196.74,384,1.0,bicubic,2.693,0.364
beit_large_patch16_224.in22k_ft_in22k_in1k,1259.52,90.149,9.851,98.725,1.275,304.43,224,0.9,bicubic,2.671,0.421
beitv2_large_patch16_224.in1k_ft_in1k,1259.52,90.1,9.9,98.439,1.561,304.43,224,0.95,bicubic,2.688,0.205
tf_efficientnet_b7.ns_jft_in1k,267.0,90.098,9.902,98.614,1.386,66.35,600,0.949,bicubic,3.258,0.522
vit_large_patch14_clip_224.laion2b_ft_in1k,1249.28,90.095,9.905,98.555,1.445,304.20,224,1.0,bicubic,2.809,0.311
convnextv2_base.fcmae_ft_in22k_in1k,355.0,90.068,9.932,98.676,1.324,88.72,288,1.0,bicubic,3.07,0.508
convnext_xlarge.fb_in22k_ft_in1k,1433.6,90.066,9.934,98.619,1.381,350.20,288,1.0,bicubic,2.736,0.291
caformer_b36.sail_in1k_384,395.0,90.063,9.937,98.514,1.486,98.75,384,1.0,bicubic,3.655,0.7
cait_m36_384.fb_dist_in1k,1116.16,90.051,9.949,98.495,1.505,271.22,384,1.0,bicubic,3.993,0.765
convnextv2_large.fcmae_ft_in22k_in1k,792.0,90.034,9.966,98.629,1.371,197.96,288,1.0,bicubic,2.55,0.273
seresnextaa101d_32x8d.sw_in12k_ft_in1k,375.0,90.029,9.971,98.685,1.315,93.59,288,1.0,bicubic,3.545,0.655
tiny_vit_21m_512.dist_in22k_ft_in1k,85.3,90.029,9.971,98.493,1.507,21.27,512,1.0,bicubic,3.571,0.609
tf_efficientnetv2_m.in21k_ft_in1k,218.0,90.025,9.975,98.666,1.334,54.14,480,1.0,bicubic,4.033,0.722
convformer_s36.sail_in22k_ft_in1k_384,160.0,90.023,9.977,98.619,1.381,40.01,384,1.0,bicubic,3.645,0.635
swin_large_patch4_window12_384.ms_in22k_ft_in1k,801.0,90.019,9.981,98.661,1.339,196.74,384,1.0,bicubic,2.887,0.427
deit3_large_patch16_224.fb_in22k_ft_in1k,1249.28,90.008,9.992,98.659,1.341,304.37,224,1.0,bicubic,3.026,0.423
convnext_base.clip_laiona_augreg_ft_in1k_384,354.0,90.001,9.998,98.548,1.452,88.59,384,1.0,bicubic,3.499,0.58
swin_base_patch4_window12_384.ms_in22k_ft_in1k,365.0,89.997,10.003,98.7,1.3,87.90,384,1.0,bicubic,3.559,0.634
vit_base_patch16_384.augreg_in21k_ft_in1k,347.0,89.989,10.011,98.678,1.322,86.86,384,1.0,bicubic,3.995,0.676
maxvit_base_tf_512.in1k,481.0,89.974,10.026,98.433,1.567,119.88,512,1.0,bicubic,3.372,0.515
caformer_m36.sail_in1k_384,225.0,89.933,10.067,98.454,1.546,56.20,384,1.0,bicubic,3.767,0.634
convnextv2_large.fcmae_ft_in1k,792.0,89.931,10.069,98.559,1.441,197.96,288,1.0,bicubic,3.813,0.737
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,466.0,89.927,10.073,98.414,1.586,116.14,224,0.95,bicubic,3.033,0.4
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,792.0,89.925,10.075,98.505,1.494,196.74,256,0.9,bicubic,2.973,0.4
regnety_160.swag_ft_in1k,335.0,89.918,10.082,98.644,1.356,83.59,384,1.0,bicubic,3.898,0.592
convnext_small.fb_in22k_ft_in1k_384,201.0,89.916,10.084,98.685,1.315,50.22,384,1.0,bicubic,4.138,0.795
efficientnet_b5.sw_in12k_ft_in1k,123.0,89.912,10.088,98.565,1.435,30.39,448,1.0,bicubic,4.016,0.829
deit3_base_patch16_384.fb_in22k_ft_in1k,348.0,89.891,10.11,98.602,1.399,86.88,384,1.0,bicubic,3.151,0.486
xcit_large_24_p8_384.fb_dist_in1k,756.0,89.886,10.114,98.384,1.616,188.93,384,1.0,bicubic,3.89,0.694
volo_d5_224.sail_in1k,1208.32,89.88,10.12,98.49,1.51,295.46,224,0.96,bicubic,3.81,0.915
convnext_large.fb_in22k_ft_in1k,791.0,89.876,10.124,98.593,1.407,197.77,288,1.0,bicubic,2.85,0.389
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,357.0,89.867,10.133,98.644,1.356,87.92,256,0.9,bicubic,3.599,0.762
tiny_vit_21m_384.dist_in22k_ft_in1k,85.1,89.863,10.137,98.499,1.501,21.23,384,1.0,bicubic,3.755,0.789
convnext_base.fb_in22k_ft_in1k,354.0,89.858,10.142,98.691,1.309,88.59,288,1.0,bicubic,3.584,0.599
caformer_m36.sail_in22k_ft_in1k,225.0,89.852,10.148,98.585,1.415,56.20,224,1.0,bicubic,3.258,0.561
cait_s36_384.fb_dist_in1k,274.0,89.835,10.165,98.427,1.573,68.37,384,1.0,bicubic,4.381,0.949
coatnet_2_rw_224.sw_in12k_ft_in1k,296.0,89.831,10.169,98.527,1.473,73.87,224,0.95,bicubic,3.267,0.631
convformer_m36.sail_in22k_ft_in1k,228.0,89.818,10.182,98.548,1.452,57.05,224,1.0,bicubic,3.67,0.698
xcit_medium_24_p8_384.fb_dist_in1k,338.0,89.816,10.184,98.365,1.635,84.32,384,1.0,bicubic,4.0,0.773
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,354.0,89.811,10.188,98.668,1.332,88.59,256,1.0,bicubic,3.441,0.684
volo_d4_224.sail_in1k,772.0,89.811,10.188,98.427,1.573,192.96,224,0.96,bicubic,3.939,0.955
maxvit_large_tf_512.in1k,851.0,89.799,10.201,98.33,1.67,212.33,512,1.0,bicubic,3.273,0.45
vit_large_r50_s32_384.augreg_in21k_ft_in1k,1351.68,89.792,10.208,98.522,1.478,329.09,384,1.0,bicubic,3.61,0.6
swin_large_patch4_window7_224.ms_in22k_ft_in1k,788.0,89.786,10.214,98.64,1.36,196.53,224,0.9,bicubic,3.474,0.738
tf_efficientnet_b6.ns_jft_in1k,173.0,89.786,10.214,98.508,1.492,43.04,528,0.942,bicubic,3.328,0.618
volo_d2_384.sail_in1k,236.0,89.784,10.216,98.403,1.597,58.87,384,1.0,bicubic,3.742,0.829
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,296.0,89.775,10.225,98.469,1.531,73.88,224,0.95,bicubic,3.271,0.575
tf_efficientnetv2_xl.in21k_ft_in1k,836.0,89.773,10.227,98.288,1.712,208.12,512,1.0,bicubic,3.025,0.274
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,465.0,89.752,10.248,98.484,1.516,116.09,224,0.95,bicubic,3.11,0.464
beitv2_base_patch16_224.in1k_ft_in22k_in1k,350.0,89.743,10.257,98.585,1.415,86.53,224,0.9,bicubic,3.269,0.532
dm_nfnet_f4.dm_in1k,1290.24,89.741,10.259,98.409,1.591,316.07,512,0.951,bicubic,3.905,0.591
dm_nfnet_f5.dm_in1k,1546.24,89.737,10.263,98.441,1.559,377.21,544,0.954,bicubic,3.637,0.753
xcit_small_24_p8_384.fb_dist_in1k,191.0,89.735,10.265,98.42,1.58,47.63,384,1.0,bicubic,4.181,0.85
