model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
eca_nfnet_l2.ra3_in1k,227.0,89.147,10.852,98.315,1.685,56.72,384,1.0,bicubic,4.447,1.049
cait_xs24_384.fb_dist_in1k,107.0,89.147,10.852,98.292,1.708,26.67,384,1.0,bicubic,5.085,1.408
fastvit_ma36.apple_dist_in1k,177.0,89.124,10.876,98.142,1.857,44.07,256,0.95,bicubic,4.526,1.141
convformer_s18.sail_in1k_384,107.0,89.124,10.876,98.13,1.87,26.77,384,1.0,bicubic,4.722,1.018
maxvit_tiny_tf_384.in1k,124.0,89.111,10.889,98.211,1.789,30.98,384,1.0,bicubic,4.011,0.833
maxvit_small_tf_384.in1k,277.0,89.109,10.891,98.164,1.836,69.02,384,1.0,bicubic,3.569,0.702
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,1925.12,89.107,10.893,98.189,1.81,468.53,224,0.875,bilinear,4.009,0.751
tf_efficientnet_b7.ra_in1k,267.0,89.081,10.919,98.185,1.815,66.35,600,0.949,bicubic,4.149,0.977
tiny_vit_21m_224.dist_in22k_ft_in1k,85.0,89.077,10.923,98.236,1.764,21.20,224,0.95,bicubic,3.991,0.87
ecaresnet269d.ra2_in1k,410.0,89.071,10.929,98.234,1.766,102.09,352,1.0,bicubic,4.103,1.012
regnety_1280.seer_ft_in1k,2641.92,89.064,10.936,98.157,1.843,644.81,384,1.0,bicubic,4.632,1.065
vit_base_patch32_clip_384.openai_ft_in12k_in1k,353.0,89.045,10.955,98.281,1.719,88.30,384,0.95,bicubic,3.831,0.877
xcit_large_24_p16_224.fb_dist_in1k,757.0,89.045,10.955,98.059,1.941,189.10,224,1.0,bicubic,4.129,0.931
convnext_small.in12k_ft_in1k,201.0,89.024,10.976,98.243,1.757,50.22,288,1.0,bicubic,3.694,0.697
resmlp_big_24_224.fb_in22k_ft_in1k,517.0,89.019,10.981,98.215,1.785,129.14,224,0.875,bicubic,4.621,1.103
dm_nfnet_f1.dm_in1k,531.0,89.017,10.983,98.256,1.744,132.63,320,0.91,bicubic,4.315,1.074
xcit_small_12_p8_224.fb_dist_in1k,105.0,89.009,10.991,98.076,1.924,26.21,224,1.0,bicubic,4.773,1.206
convnext_large.fb_in1k,791.0,88.994,11.006,98.04,1.96,197.77,288,1.0,bicubic,4.148,0.826
efficientnetv2_rw_m.agc_in1k,215.0,88.985,11.015,98.219,1.781,53.24,416,1.0,bicubic,4.175,1.067
caformer_m36.sail_in1k,225.0,88.985,11.015,98.016,1.984,56.20,224,1.0,bicubic,3.753,0.816
regnety_1280.swag_lc_in1k,2641.92,88.955,11.045,98.228,1.772,644.81,224,0.965,bicubic,2.973,0.378
regnetz_d8_evos.ch_in1k,94.0,88.951,11.049,98.181,1.819,23.46,320,1.0,bicubic,4.825,1.169
regnetz_040_h.ra3_in1k,117.0,88.949,11.051,98.209,1.791,28.94,320,1.0,bicubic,4.457,1.451
edgenext_base.in21k_ft_in1k,74.1,88.942,11.057,98.279,1.721,18.51,320,1.0,bicubic,4.888,1.083
tf_efficientnet_b5.ap_in1k,123.0,88.942,11.057,98.166,1.834,30.39,456,0.934,bicubic,4.684,1.192
mvitv2_large.fb_in1k,872.0,88.936,11.064,97.965,2.035,217.99,224,0.9,bicubic,3.692,0.751
caformer_s18.sail_in22k_ft_in1k,105.0,88.932,11.068,98.311,1.689,26.34,224,1.0,bicubic,4.858,1.113
deit3_base_patch16_384.fb_in1k,348.0,88.923,11.077,98.042,1.958,86.88,384,1.0,bicubic,3.849,0.768
deit3_medium_patch16_224.fb_in22k_ft_in1k,155.0,88.919,11.081,98.296,1.704,38.85,224,1.0,bicubic,4.369,1.108
volo_d1_224.sail_in1k,107.0,88.915,11.085,98.027,1.973,26.63,224,0.96,bicubic,4.753,1.251
convnext_tiny.in12k_ft_in1k,114.0,88.906,11.094,98.309,1.691,28.59,288,1.0,bicubic,4.456,0.969
tf_efficientnetv2_s.in21k_ft_in1k,86.7,88.898,11.102,98.275,1.725,21.46,384,1.0,bicubic,4.612,1.023
vit_base_patch16_224.augreg_in21k_ft_in1k,346.0,88.868,11.132,98.232,1.768,86.57,224,0.9,bicubic,4.336,0.938
convnext_tiny.fb_in22k_ft_in1k_384,114.0,88.855,11.145,98.296,1.704,28.59,384,1.0,bicubic,4.767,1.152
regnetz_d8.ra3_in1k,94.1,88.853,11.147,98.189,1.81,23.37,320,1.0,bicubic,4.801,1.194
convformer_b36.sail_in1k,400.0,88.851,11.149,97.878,2.122,99.88,224,1.0,bicubic,4.033,0.932
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,167.0,88.842,11.158,97.869,2.131,41.72,224,0.95,bicubic,3.932,0.911
resnetrs420.tf_in1k,770.0,88.838,11.162,98.031,1.968,191.89,416,1.0,bicubic,3.834,0.907
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,778.0,88.834,11.166,98.051,1.949,194.03,224,0.875,bilinear,4.668,0.853
resnetrs270.tf_in1k,521.0,88.829,11.171,98.136,1.864,129.86,352,1.0,bicubic,4.401,1.168
vit_small_r26_s32_384.augreg_in21k_ft_in1k,146.0,88.821,11.179,98.341,1.659,36.47,384,1.0,bicubic,4.773,1.013
swin_small_patch4_window7_224.ms_in22k_ft_in1k,200.0,88.817,11.184,98.328,1.672,49.61,224,0.9,bicubic,5.519,1.364
vit_base_r50_s16_384.orig_in21k_ft_in1k,396.0,88.806,11.194,98.232,1.768,98.95,384,1.0,bicubic,3.83,0.942
xcit_medium_24_p16_224.fb_dist_in1k,338.0,88.806,11.194,98.038,1.962,84.40,224,1.0,bicubic,4.52,1.106
tf_efficientnet_b7.aa_in1k,267.0,88.804,11.196,98.057,1.943,66.35,600,0.949,bicubic,4.388,1.149
maxxvit_rmlp_small_rw_256.sw_in1k,264.0,88.795,11.205,98.064,1.937,66.01,256,0.95,bicubic,4.171,0.996
fastvit_sa36.apple_dist_in1k,127.0,88.789,11.211,98.096,1.905,31.53,256,0.9,bicubic,4.763,1.242
seresnet152d.ra2_in1k,268.0,88.787,11.213,98.172,1.828,66.84,320,1.0,bicubic,4.427,1.132
xcit_tiny_24_p8_384.fb_dist_in1k,48.7,88.787,11.213,98.155,1.845,12.11,384,1.0,bicubic,5.041,1.755
convformer_m36.sail_in1k,228.0,88.787,11.213,97.769,2.231,57.05,224,1.0,bicubic,4.293,0.903
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,356.0,88.782,11.218,98.151,1.849,88.79,224,0.875,bilinear,4.48,0.975
resnetrs200.tf_in1k,374.0,88.763,11.237,98.115,1.885,93.21,320,1.0,bicubic,4.319,1.273
convnext_base.fb_in1k,354.0,88.763,11.237,97.92,2.08,88.59,288,1.0,bicubic,4.335,0.952
deit3_large_patch16_224.fb_in1k,1249.28,88.763,11.237,97.92,2.08,304.37,224,0.9,bicubic,3.989,0.884
tf_efficientnet_b6.aa_in1k,173.0,88.759,11.241,98.066,1.934,43.04,528,0.942,bicubic,4.647,1.182
resnetrs350.tf_in1k,658.0,88.757,11.243,98.031,1.968,163.96,384,1.0,bicubic,4.043,1.039
rexnetr_300.sw_in12k_ft_in1k,140.0,88.746,11.254,98.339,1.661,34.81,288,1.0,bicubic,4.2,1.083
caformer_s36.sail_in1k,157.0,88.746,11.254,98.023,1.977,39.30,224,1.0,bicubic,4.24,1.027
convnextv2_tiny.fcmae_ft_in22k_in1k,115.0,88.744,11.256,98.194,1.806,28.64,288,1.0,bicubic,4.328,0.934
vit_base_patch16_224_miil.in21k_ft_in1k,346.0,88.742,11.258,98.027,1.973,86.54,224,0.875,bilinear,4.476,1.223
edgenext_base.usi_in1k,74.1,88.735,11.265,98.147,1.853,18.51,320,1.0,bicubic,4.777,1.377
regnetz_040.ra3_in1k,109.0,88.731,11.269,98.091,1.909,27.12,320,1.0,bicubic,4.491,1.159
convformer_s18.sail_in22k_ft_in1k,107.0,88.727,11.273,98.194,1.806,26.77,224,1.0,bicubic,4.989,1.146
resnetv2_152x2_bit.goog_in21k_ft_in1k,946.0,88.725,11.275,98.311,1.689,236.34,448,1.0,bilinear,4.215,0.877
regnety_160.deit_in1k,335.0,88.703,11.297,98.068,1.932,83.59,288,1.0,bicubic,5.013,1.288
davit_base.msft_in1k,352.0,88.701,11.299,97.874,2.127,87.95,224,0.95,bicubic,4.059,0.854
regnety_640.seer_ft_in1k,1157.12,88.674,11.326,98.166,1.834,281.38,384,1.0,bicubic,4.766,1.244
regnetz_d32.ra3_in1k,111.0,88.652,11.348,98.078,1.922,27.58,320,0.95,bicubic,4.63,1.21
vit_small_patch16_384.augreg_in21k_ft_in1k,88.8,88.648,11.352,98.23,1.77,22.20,384,1.0,bicubic,4.844,1.13
flexivit_base.1200ep_in1k,353.0,88.648,11.352,97.935,2.065,86.59,240,0.95,bicubic,3.972,0.941
mvitv2_base.fb_in1k,206.0,88.644,11.356,97.826,2.174,51.47,224,0.9,bicubic,4.194,0.968
regnety_080.ra3_in1k,157.0,88.635,11.365,97.965,2.035,39.18,288,1.0,bicubic,4.709,1.075
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,156.0,88.633,11.367,98.189,1.81,38.86,256,0.95,bicubic,4.187,0.98
davit_small.msft_in1k,199.0,88.631,11.369,97.953,2.047,49.75,224,0.95,bicubic,4.379,1.013
eca_nfnet_l1.ra2_in1k,166.0,88.622,11.378,98.132,1.868,41.41,320,1.0,bicubic,4.61,1.106
repvgg_d2se.rvgg_in1k,534.0,88.599,11.401,97.984,2.015,133.33,320,1.0,bilinear,5.039,1.326
maxvit_base_tf_224.in1k,479.0,88.588,11.412,97.85,2.15,119.47,224,0.95,bicubic,3.728,0.862
swinv2_base_window16_256.ms_in1k,357.0,88.586,11.414,97.908,2.092,87.92,256,0.9,bicubic,3.986,0.818
resnetaa101d.sw_in12k_ft_in1k,179.0,88.573,11.427,98.076,1.924,44.57,288,1.0,bicubic,4.449,0.97
regnety_320.seer_ft_in1k,581.0,88.571,11.429,98.106,1.894,145.05,384,1.0,bicubic,5.243,1.398
efficientvit_b3.r288_in1k,195.0,88.562,11.438,97.707,2.293,48.65,288,1.0,bicubic,4.409,0.971
resnetv2_152x4_bit.goog_in21k_ft_in1k,3840.0,88.554,11.446,98.192,1.808,936.53,480,1.0,bilinear,3.638,0.754
resnet200d.ra2_in1k,260.0,88.554,11.446,97.961,2.039,64.69,320,1.0,bicubic,4.59,1.135
xcit_small_24_p16_224.fb_dist_in1k,191.0,88.545,11.455,98.004,1.996,47.67,224,1.0,bicubic,4.671,1.268
flexivit_base.600ep_in1k,353.0,88.545,11.455,97.933,2.067,86.59,240,0.95,bicubic,4.021,0.997
seresnextaa101d_32x8d.ah_in1k,375.0,88.537,11.463,98.002,1.998,93.59,288,1.0,bicubic,3.971,0.926
maxvit_rmlp_small_rw_224.sw_in1k,260.0,88.522,11.478,97.773,2.227,64.90,224,0.9,bicubic,4.03,0.763
resnest269e.in1k,446.0,88.52,11.48,98.029,1.971,110.93,416,0.928,bicubic,4.012,1.039
coatnet_rmlp_2_rw_224.sw_in1k,296.0,88.513,11.487,97.566,2.434,73.88,224,0.95,bicubic,3.905,0.826
efficientformerv2_l.snap_dist_in1k,107.0,88.509,11.491,97.963,2.037,26.32,224,0.95,bicubic,4.877,1.405
repvit_m2_3.dist_300e_in1k,95.9,88.503,11.497,97.942,2.058,23.69,224,0.95,bicubic,4.999,1.438
gcvit_base.in1k,,88.501,11.499,97.769,2.231,90.32,224,0.875,bicubic,4.056,0.687
swinv2_base_window8_256.ms_in1k,354.0,88.498,11.502,97.891,2.109,87.92,256,0.9,bicubic,4.248,0.967
seresnext101_32x8d.ah_in1k,375.0,88.494,11.506,97.884,2.116,93.57,288,1.0,bicubic,4.308,1.01
repvit_m2_3.dist_450e_in1k,95.9,88.488,11.512,98.059,1.941,23.69,224,0.95,bicubic,4.746,1.415
convformer_s36.sail_in1k,160.0,88.486,11.514,97.763,2.237,40.01,224,1.0,bicubic,4.426,1.017
flexivit_base.300ep_in1k,353.0,88.479,11.521,97.846,2.154,86.59,240,0.95,bicubic,4.073,0.962
crossvit_18_dagger_408.in1k,179.0,88.473,11.527,97.897,2.103,44.61,408,1.0,bicubic,4.271,1.079
efficientnetv2_rw_s.ra2_in1k,96.7,88.469,11.531,97.978,2.022,23.94,384,1.0,bicubic,4.663,1.246
resnetv2_101x3_bit.goog_in21k_ft_in1k,1587.2,88.466,11.534,98.157,1.843,387.93,448,1.0,bilinear,4.028,0.775
fastvit_sa24.apple_dist_in1k,86.8,88.46,11.54,97.957,2.043,21.55,256,0.9,bicubic,5.118,1.405
maxvit_large_tf_224.in1k,848.0,88.46,11.54,97.809,2.191,211.79,224,0.95,bicubic,3.518,0.839
maxvit_small_tf_224.in1k,276.0,88.456,11.544,97.88,2.12,68.93,224,0.95,bicubic,4.03,1.056
resnetv2_50x3_bit.goog_in21k_ft_in1k,869.0,88.447,11.553,98.2,1.8,217.32,448,1.0,bilinear,4.427,1.074
cait_s24_224.fb_dist_in1k,188.0,88.443,11.557,97.961,2.039,46.92,224,1.0,bicubic,5.001,1.387
resmlp_big_24_224.fb_distilled_in1k,517.0,88.441,11.559,97.938,2.062,129.14,224,0.875,bicubic,4.849,1.287
regnetv_064.ra3_in1k,123.0,88.436,11.563,98.061,1.939,30.58,288,1.0,bicubic,4.721,1.319
resnest200e.in1k,282.0,88.434,11.566,98.04,1.96,70.20,320,0.909,bicubic,4.59,1.156
vit_large_r50_s32_224.augreg_in21k_ft_in1k,1351.68,88.432,11.568,98.083,1.917,328.99,224,0.9,bicubic,4.014,0.911
inception_next_base.sail_in1k,347.0,88.432,11.568,97.773,2.227,86.67,224,0.95,bicubic,4.34,0.977
tf_efficientnet_b3.ns_jft_in1k,49.5,88.428,11.572,98.031,1.968,12.23,300,0.904,bicubic,4.376,1.113
seresnext101d_32x8d.ah_in1k,375.0,88.428,11.572,97.961,2.039,93.59,288,1.0,bicubic,4.07,1.041
swin_base_patch4_window12_384.ms_in1k,365.0,88.426,11.574,97.803,2.197,87.90,384,1.0,bicubic,3.95,0.911
tf_efficientnetv2_s.in1k,86.7,88.409,11.591,97.927,2.073,21.46,384,1.0,bicubic,4.511,1.231
convnext_small.fb_in1k,201.0,88.407,11.593,98.012,1.988,50.22,288,1.0,bicubic,4.707,1.204
tf_efficientnet_b5.aa_in1k,123.0,88.407,11.593,97.931,2.069,30.39,456,0.934,bicubic,4.719,1.219
regnety_320.swag_lc_in1k,581.0,88.398,11.602,98.115,1.885,145.05,224,0.965,bicubic,3.85,0.673
vit_base_patch16_384.orig_in21k_ft_in1k,347.0,88.392,11.608,98.16,1.84,86.86,384,1.0,bicubic,4.192,0.942
regnetz_c16_evos.ch_in1k,54.1,88.381,11.619,98.04,1.96,13.49,320,0.95,bicubic,5.745,1.566
tresnet_v2_l.miil_in21k_ft_in1k,185.0,88.375,11.625,97.925,2.075,46.17,224,0.875,bilinear,4.481,1.435
swinv2_small_window16_256.ms_in1k,204.0,88.372,11.628,97.848,2.152,49.73,256,0.9,bicubic,4.148,1.07
efficientnet_b4.ra2_in1k,78.1,88.366,11.634,97.961,2.039,19.34,384,1.0,bicubic,4.952,1.363
resnet152d.ra2_in1k,242.0,88.362,11.638,97.931,2.069,60.21,320,1.0,bicubic,4.678,1.193
fastvit_ma36.apple_in1k,177.0,88.358,11.643,97.923,2.077,44.07,256,0.95,bicubic,4.475,1.181
maxvit_rmlp_tiny_rw_256.sw_in1k,117.0,88.355,11.645,97.82,2.18,29.15,256,0.95,bicubic,4.131,0.952
tf_efficientnet_b4.ap_in1k,78.1,88.347,11.653,97.891,2.109,19.34,380,0.922,bicubic,5.097,1.495
deit3_small_patch16_224.fb_in22k_ft_in1k,88.3,88.338,11.662,98.132,1.868,22.06,224,1.0,bicubic,5.262,1.356
regnety_064.ra3_in1k,123.0,88.323,11.677,97.865,2.135,30.58,288,1.0,bicubic,4.603,1.143
efficientvit_b3.r256_in1k,195.0,88.319,11.681,97.56,2.44,48.65,256,1.0,bicubic,4.517,1.044
convnextv2_nano.fcmae_ft_in22k_in1k_384,62.6,88.315,11.685,97.938,2.062,15.62,384,1.0,bicubic,4.941,1.194
tf_efficientnet_b5.ra_in1k,123.0,88.313,11.687,97.914,2.086,30.39,456,0.934,bicubic,4.499,1.162
crossvit_15_dagger_408.in1k,114.0,88.313,11.687,97.874,2.127,28.50,408,1.0,bicubic,4.473,1.096
cs3se_edgenet_x.c2ns_in1k,203.0,88.3,11.7,97.933,2.067,50.72,320,1.0,bicubic,4.754,1.263
deit3_small_patch16_384.fb_in1k,88.9,88.296,11.704,97.888,2.112,22.21,384,1.0,bicubic,4.868,1.214
pvt_v2_b4.in1k,251.0,88.285,11.715,97.816,2.184,62.56,224,0.9,bicubic,4.573,1.146
efficientformer_l7.snap_dist_in1k,330.0,88.278,11.722,97.882,2.118,82.23,224,0.95,bicubic,4.896,1.346
mvitv2_small.fb_in1k,140.0,88.264,11.736,97.692,2.308,34.87,224,0.9,bicubic,4.494,1.116
inception_next_small.sail_in1k,198.0,88.253,11.747,97.816,2.184,49.37,224,0.875,bicubic,4.675,1.218
resnetrs152.tf_in1k,347.0,88.249,11.751,97.737,2.263,86.62,320,1.0,bicubic,4.547,1.125
deit3_base_patch16_224.fb_in1k,346.0,88.242,11.758,97.818,2.182,86.59,224,0.9,bicubic,4.456,1.232
xcit_small_12_p16_224.fb_dist_in1k,105.0,88.24,11.76,97.841,2.159,26.25,224,1.0,bicubic,4.912,1.425
gcvit_small.in1k,,88.223,11.777,97.788,2.212,51.09,224,0.875,bicubic,4.331,1.13
deit_base_distilled_patch16_224.fb_in1k,349.0,88.21,11.79,97.91,2.09,87.34,224,0.9,bicubic,4.82,1.422
regnetv_040.ra3_in1k,83.0,88.208,11.792,97.972,2.028,20.64,288,1.0,bicubic,5.018,1.314
xception65p.ra3_in1k,160.0,88.189,11.811,97.788,2.212,39.82,299,0.94,bicubic,5.063,1.306
swinv2_small_window8_256.ms_in1k,201.0,88.172,11.828,97.777,2.223,49.73,256,0.9,bicubic,4.318,1.133
caformer_s18.sail_in1k,105.0,88.163,11.837,97.728,2.272,26.34,224,1.0,bicubic,4.509,1.21
xcit_tiny_24_p16_384.fb_dist_in1k,48.7,88.161,11.839,97.942,2.058,12.12,384,1.0,bicubic,5.591,1.666
xcit_large_24_p8_224.fb_in1k,756.0,88.159,11.841,97.391,2.609,188.93,224,1.0,bicubic,3.765,0.727
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k_384,946.0,88.148,11.852,98.051,1.949,236.34,384,1.0,bicubic,4.312,0.925
tiny_vit_21m_224.in1k,85.0,88.146,11.854,97.85,2.15,21.20,224,0.95,bicubic,4.892,1.258
coat_lite_medium.in1k,178.0,88.144,11.856,97.899,2.101,44.57,224,0.9,bicubic,4.544,1.171
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,356.0,88.144,11.856,97.859,2.142,88.79,224,0.875,bilinear,5.446,1.715
cait_xxs36_384.fb_dist_in1k,69.7,88.14,11.86,97.903,2.097,17.37,384,1.0,bicubic,5.936,1.759
dm_nfnet_f0.dm_in1k,286.0,88.133,11.867,97.903,2.097,71.49,256,0.9,bicubic,4.647,1.335
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,177.0,88.112,11.888,97.965,2.035,44.18,224,0.875,bilinear,4.886,1.205
pit_b_distilled_224.in1k,299.0,88.11,11.89,97.654,2.346,74.79,224,0.9,bicubic,4.344,1.186
xcit_tiny_12_p8_384.fb_dist_in1k,27.0,88.103,11.897,97.925,2.075,6.71,384,1.0,bicubic,5.715,1.705
tiny_vit_11m_224.dist_in22k_ft_in1k,44.1,88.103,11.897,97.79,2.21,11.00,224,0.95,bicubic,4.875,1.16
pvt_v2_b5.in1k,328.0,88.103,11.897,97.694,2.306,81.96,224,0.9,bicubic,4.363,1.058
rexnetr_200.sw_in12k_ft_in1k,66.6,88.099,11.901,98.006,1.994,16.52,288,1.0,bicubic,4.961,1.37
pvt_v2_b3.in1k,181.0,88.099,11.901,97.777,2.223,45.24,224,0.9,bicubic,4.981,1.221
fastvit_sa36.apple_in1k,127.0,88.088,11.912,97.79,2.21,31.53,256,0.9,bicubic,4.588,1.16
hrnet_w18_ssld.paddle_in1k,86.1,88.067,11.933,97.824,2.176,21.30,288,1.0,bilinear,6.019,1.574
xception65.ra3_in1k,161.0,88.067,11.933,97.75,2.25,39.92,299,0.94,bicubic,4.887,1.158
efficientvit_b3.r224_in1k,195.0,88.065,11.935,97.566,2.434,48.65,224,0.95,bicubic,4.605,1.236
swin_s3_base_224.ms_in1k,295.0,88.046,11.954,97.662,2.338,71.13,224,0.9,bicubic,4.126,0.99
xcit_tiny_24_p8_224.fb_dist_in1k,48.7,88.037,11.963,97.818,2.182,12.11,224,1.0,bicubic,5.471,1.76
convnextv2_tiny.fcmae_ft_in1k,115.0,88.035,11.965,97.859,2.142,28.64,288,1.0,bicubic,4.571,1.141
regnety_160.swag_lc_in1k,335.0,88.033,11.967,98.042,1.958,83.59,224,0.965,bicubic,4.251,0.762
resnet152.a1h_in1k,242.0,88.033,11.967,97.696,2.304,60.19,288,1.0,bicubic,4.583,1.158
focalnet_base_srf.ms_in1k,353.0,88.033,11.967,97.656,2.344,88.15,224,0.9,bicubic,4.213,0.976
maxvit_tiny_tf_224.in1k,124.0,88.027,11.973,97.816,2.184,30.92,224,0.95,bicubic,4.625,1.226
focalnet_base_lrf.ms_in1k,355.0,88.003,11.997,97.609,2.391,88.75,224,0.9,bicubic,4.165,1.001
gcvit_tiny.in1k,,88.001,11.999,97.722,2.278,28.22,224,0.875,bicubic,4.617,1.324
eca_nfnet_l0.ra2_in1k,96.6,87.98,12.02,97.871,2.129,24.14,288,1.0,bicubic,5.402,1.379
tf_efficientnet_b5.in1k,123.0,87.975,12.025,97.933,2.067,30.39,456,0.934,bicubic,4.799,1.397
cs3sedarknet_x.c2ns_in1k,142.0,87.975,12.025,97.794,2.205,35.40,288,1.0,bicubic,5.317,1.445
nfnet_l0.ra2_in1k,140.0,87.967,12.033,97.867,2.133,35.07,288,1.0,bicubic,5.217,1.351
efficientformer_l3.snap_dist_in1k,126.0,87.963,12.037,97.711,2.289,31.41,224,0.95,bicubic,5.415,1.461
tf_efficientnet_b4.aa_in1k,78.1,87.958,12.042,97.739,2.261,19.34,380,0.922,bicubic,4.94,1.439
xcit_small_24_p8_224.fb_in1k,191.0,87.956,12.044,97.581,2.419,47.63,224,1.0,bicubic,4.122,0.949
regnetz_c16.ra3_in1k,54.3,87.952,12.048,97.779,2.22,13.46,320,1.0,bicubic,5.32,1.462
regnety_032.ra_in1k,78.2,87.95,12.05,97.897,2.103,19.44,288,1.0,bicubic,5.224,1.481
coatnet_1_rw_224.sw_in1k,167.0,87.943,12.057,97.453,2.547,41.72,224,0.95,bicubic,4.347,1.071
resnet101d.ra2_in1k,179.0,87.937,12.063,97.91,2.09,44.57,320,1.0,bicubic,4.917,1.458
regnety_040.ra3_in1k,83.0,87.933,12.067,97.88,2.12,20.65,288,1.0,bicubic,4.889,1.378
mobilevitv2_200.cvnets_in22k_ft_in1k_384,74.0,87.933,12.067,97.822,2.178,18.45,384,1.0,bicubic,4.533,1.24
swinv2_cr_small_ns_224.sw_in1k,199.0,87.933,12.067,97.668,2.332,49.70,224,0.9,bicubic,4.435,1.184
focalnet_small_lrf.ms_in1k,202.0,87.93,12.069,97.696,2.304,50.34,224,0.9,bicubic,4.436,1.116
repvit_m1_5.dist_450e_in1k,59.4,87.928,12.072,97.703,2.297,14.64,224,0.95,bicubic,5.416,1.591
resnetv2_101.a1h_in1k,179.0,87.924,12.076,97.651,2.349,44.54,288,1.0,bicubic,4.924,1.197
efficientvit_b2.r288_in1k,97.6,87.92,12.08,97.6,2.4,24.33,288,1.0,bicubic,4.82,1.296
vit_base_patch32_384.augreg_in21k_ft_in1k,353.0,87.909,12.091,98.01,1.99,88.30,384,1.0,bicubic,4.557,1.17
sequencer2d_l.in1k,218.0,87.907,12.093,97.703,2.297,54.30,224,0.875,bicubic,4.513,1.207
twins_svt_large.in1k,397.0,87.903,12.097,97.581,2.419,99.27,224,0.9,bicubic,4.225,0.993
coatnet_rmlp_1_rw_224.sw_in1k,167.0,87.892,12.108,97.624,2.376,41.69,224,0.95,bicubic,4.53,1.174
twins_pcpvt_large.in1k,244.0,87.869,12.131,97.859,2.142,60.99,224,0.9,bicubic,4.739,1.255
swin_base_patch4_window7_224.ms_in1k,353.0,87.866,12.134,97.564,2.436,87.77,224,0.9,bicubic,4.26,1.112
maxvit_tiny_rw_224.sw_in1k,117.0,87.856,12.144,97.643,2.357,29.06,224,0.95,bicubic,4.352,1.129
swin_s3_small_224.ms_in1k,209.0,87.849,12.151,97.431,2.568,49.74,224,0.9,bicubic,4.093,0.98
convformer_s18.sail_in1k,107.0,87.845,12.155,97.551,2.449,26.77,224,1.0,bicubic,4.859,1.301
deit_base_patch16_384.fb_in1k,347.0,87.845,12.155,97.508,2.492,86.86,384,1.0,bicubic,4.741,1.14
mobilevitv2_175.cvnets_in22k_ft_in1k_384,57.2,87.841,12.159,97.728,2.272,14.25,384,1.0,bicubic,4.903,1.302
ecaresnet101d.miil_in1k,179.0,87.839,12.161,97.899,2.101,44.57,288,0.95,bicubic,4.855,1.357
convnext_nano.in12k_ft_in1k,62.4,87.837,12.164,97.888,2.112,15.59,288,1.0,bicubic,4.975,1.332
xcit_small_12_p8_224.fb_in1k,105.0,87.822,12.178,97.568,2.432,26.21,224,1.0,bicubic,4.488,1.086
flexivit_small.600ep_in1k,91.6,87.811,12.189,97.577,2.423,22.06,240,0.95,bicubic,5.449,1.493
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,353.0,87.809,12.191,97.756,2.244,88.22,224,0.9,bicubic,4.513,1.228
flexivit_small.1200ep_in1k,91.6,87.809,12.191,97.613,2.387,22.06,240,0.95,bicubic,5.283,1.487
focalnet_small_srf.ms_in1k,200.0,87.809,12.191,97.575,2.425,49.89,224,0.9,bicubic,4.393,1.137
tf_efficientnetv2_b3.in21k_ft_in1k,58.1,87.807,12.193,97.895,2.105,14.36,300,0.9,bicubic,5.137,1.269
maxxvit_rmlp_nano_rw_256.sw_in1k,67.3,87.807,12.193,97.752,2.248,16.78,256,0.95,bicubic,4.765,1.402
deit3_medium_patch16_224.fb_in1k,155.0,87.807,12.193,97.654,2.346,38.85,224,0.9,bicubic,4.721,1.36
tresnet_xl.miil_in1k_448,315.0,87.796,12.204,97.459,2.541,78.44,448,0.875,bilinear,4.738,1.287
resnetv2_50x1_bit.goog_distilled_in1k,102.0,87.79,12.21,97.899,2.101,25.55,224,0.875,bicubic,4.966,1.381
repvit_m1_5.dist_300e_in1k,59.4,87.772,12.227,97.649,2.351,14.64,224,0.95,bicubic,5.396,1.619
convnext_tiny.fb_in1k,114.0,87.77,12.23,97.585,2.415,28.59,288,1.0,bicubic,5.072,0.953
regnety_320.tv2_in1k,581.0,87.743,12.257,97.673,2.327,145.05,224,0.965,bicubic,4.581,1.259
resnext101_64x4d.tv_in1k,335.0,87.74,12.259,97.592,2.408,83.46,224,0.875,bilinear,4.748,1.348
convnextv2_nano.fcmae_ft_in22k_in1k,62.6,87.732,12.268,97.886,2.114,15.62,288,1.0,bicubic,5.068,1.366
twins_pcpvt_base.in1k,175.0,87.73,12.27,97.728,2.272,43.83,224,0.9,bicubic,5.016,1.382
tresnet_m.miil_in21k_ft_in1k,126.0,87.725,12.274,97.517,2.483,31.39,224,0.875,bilinear,4.656,1.407
mvitv2_tiny.fb_in1k,96.8,87.719,12.281,97.553,2.447,24.17,224,0.9,bicubic,5.309,1.401
