tf_efficientnetv2_m.in21k_ft_in1k,218 MB
convformer_s36.sail_in22k_ft_in1k_384,160 MB
swin_large_patch4_window12_384.ms_in22k_ft_in1k,801 MB
deit3_large_patch16_224.fb_in22k_ft_in1k,1.22 GB
convnext_base.clip_laiona_augreg_ft_in1k_384,354 MB
swin_base_patch4_window12_384.ms_in22k_ft_in1k,365 MB
vit_base_patch16_384.augreg_in21k_ft_in1k,347 MB
maxvit_base_tf_512.in1k,481 MB
caformer_m36.sail_in1k_384,225 MB
convnextv2_large.fcmae_ft_in1k,792 MB
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,466 MB
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,792 MB
regnety_160.swag_ft_in1k,335 MB
convnext_small.fb_in22k_ft_in1k_384,201 MB
efficientnet_b5.sw_in12k_ft_in1k,123 MB
deit3_base_patch16_384.fb_in22k_ft_in1k,348 MB
xcit_large_24_p8_384.fb_dist_in1k,756 MB
volo_d5_224.sail_in1k,1.18 GB
convnext_large.fb_in22k_ft_in1k,791 MB
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,357 MB
tiny_vit_21m_384.dist_in22k_ft_in1k,85.1 MB
convnext_base.fb_in22k_ft_in1k,354 MB
caformer_m36.sail_in22k_ft_in1k,225 MB
cait_s36_384.fb_dist_in1k,274 MB
coatnet_2_rw_224.sw_in12k_ft_in1k,296 MB
convformer_m36.sail_in22k_ft_in1k,228 MB
xcit_medium_24_p8_384.fb_dist_in1k,338 MB
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,354 MB
volo_d4_224.sail_in1k,772 MB
maxvit_large_tf_512.in1k,851 MB
vit_large_r50_s32_384.augreg_in21k_ft_in1k,1.32 GB
swin_large_patch4_window7_224.ms_in22k_ft_in1k,788 MB
tf_efficientnet_b6.ns_jft_in1k,173 MB
volo_d2_384.sail_in1k,236 MB
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,296 MB
tf_efficientnetv2_xl.in21k_ft_in1k,836 MB
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,465 MB
beitv2_base_patch16_224.in1k_ft_in22k_in1k,350 MB
dm_nfnet_f4.dm_in1k,1.26 GB
dm_nfnet_f5.dm_in1k,1.51 GB
xcit_small_24_p8_384.fb_dist_in1k,191 MB
regnety_160.lion_in12k_ft_in1k,335 MB
caformer_s18.sail_in22k_ft_in1k_384,105 MB
vit_base_patch8_224.augreg2_in21k_ft_in1k,346 MB
convformer_m36.sail_in1k_384,228 MB
vit_base_patch16_clip_384.openai_ft_in1k,347 MB
caformer_s36.sail_in22k_ft_in1k,157 MB
volo_d1_384.sail_in1k,107 MB
deit3_large_patch16_384.fb_in1k,1.22 GB
caformer_s36.sail_in1k_384,157 MB
xcit_large_24_p16_384.fb_dist_in1k,757 MB
convformer_b36.sail_in1k_384,400 MB
tf_efficientnet_b5.ns_jft_in1k,123 MB
dm_nfnet_f3.dm_in1k,1.02 GB
convnext_base.clip_laion2b_augreg_ft_in1k,354 MB
regnety_2560.seer_ft_in1k,5.13 GB
convnext_small.in12k_ft_in1k_384,201 MB
maxvit_base_tf_384.in1k,480 MB
tf_efficientnet_b8.ap_in1k,352 MB
regnety_160.sw_in12k_ft_in1k,335 MB
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,346 MB
maxvit_tiny_tf_512.in1k,125 MB
convformer_s18.sail_in22k_ft_in1k_384,107 MB
volo_d3_224.sail_in1k,345 MB
maxvit_large_tf_384.in1k,849 MB
tf_efficientnetv2_l.in1k,477 MB
flexivit_large.1200ep_in1k,1.23 GB
xcit_large_24_p8_224.fb_dist_in1k,756 MB
flexivit_large.600ep_in1k,1.23 GB
xcit_small_12_p8_384.fb_dist_in1k,105 MB
cait_s24_384.fb_dist_in1k,188 MB
convformer_s36.sail_in22k_ft_in1k,160 MB
convnextv2_tiny.fcmae_ft_in22k_in1k_384,115 MB
convformer_s36.sail_in1k_384,160 MB
xcit_medium_24_p16_384.fb_dist_in1k,338 MB
convnext_tiny.in12k_ft_in1k_384,114 MB
inception_next_base.sail_in1k_384,347 MB
regnety_120.sw_in12k_ft_in1k,208 MB
vit_base_patch16_224.augreg2_in21k_ft_in1k,346 MB
deit3_base_patch16_224.fb_in22k_ft_in1k,346 MB
maxvit_small_tf_512.in1k,277 MB
vit_base_patch8_224.augreg_in21k_ft_in1k,346 MB
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,353 MB
deit_base_distilled_patch16_384.fb_in1k,351 MB
